name,city,state,description,type
Cornell City Library at 117N 3rd,Cornell,WI,"The small city library in Cornell is a location that triggers unease in most any one that enters it. As far as the history of the building  the basement  where the restroom is  used to be a jail during the earlier duration of Cornell's existace. The entire building has a heavy sort of a feeling to it  but it is the basement in particular that makes all who step down there to visit the restroom uneasy. Some librarians working there would not go down to the basement to the restroom the entire time they worked there because of the uncomfortable feeling that overwhelms visitors to the basement. The entire basement area has had virtually no remodeling and is for lack of better description ""rugged"". To my knowledge there has been no sightings of any kind  just the feeling of an overbearing presence of some kind.",Ghost
Wyalusing Academy,Prairie Du Chien,WI,It has been in the news paper a lot  about a man walking around the town. The residents there believe that he is a ghost.,Ghost
El Rancho,Ladysmith,WI,Is said to be Haunted. Possibly built on a cemetery. Rumors of Ghosts. One rumor of a man in a red flannel shirt that was killed with an ax. People that live near the trailer court close by have said they have seen this man standing in their living rooms just watching them.,Ghost
Ladysmith,Rusk,WI,Ladysmith high school - Sometimes kids say they are followed into the school by ghosts in the morning and sometimes at sporting events Ghosts have been reported being seen in the locker rooms during a game.,Ghost
Point Pleasant,Mason County,WV,T.N.T. area - Called T.N.T. area because the U.S. military used to make explosives there during World War II. There are over 100 igloos in the area  where they stored the T.N.T. This is the place where sightings of the Mothman have occurred. The first sighting was here at the old North Power Plant  now destroyed back in 1995.,Ghost
Mountaineer Opry House,Milton,WV,"When your on stage you can some times hear strange things and some times music ""banjo"" from the rehearsal room even when no ones there.",Ghost
22 Mine Road,Logan,WV,The ghost of Mame Thurman  a lady killed on June 22 1932 by a still unknown killer  has been seen walking the woods where she was killed. Mamie Thurman,Ghost
Former munitions dump,Point Pleasant,WV,"A monster or demon known as ""the Bird-Man"" or ""the Moth-Man"" has been spotted at various times by numerous people in this small town  usually in the vicinity of a former TNT dump along the Ohio River  once maintained by the federal government.  It has also been seen along roads around Point Pleasant.  It is described as a man with large wings; some witnesses have also said that it had horns and a tail  and big vicious teeth.  Strangely  it is usually sighted several times in rapid succession  then followed by some sort of catastrophe.  For example  it was sighted before devastating floods  and before the collapse of a traffic-laden bridge crossing the Ohio River.  Some say the creature is the manifestation of a curse placed on the town by a Native American chief who was tortured to death in Point Pleasant by British troops during the French and Indian War.",Ghost
Chapmanville High School,Chapmanville,WV,In the band room office of Chapmanville High the ceiling has always leaked.  Maintenance workers have replaced ceiling tiles  pipes  and repeatedly checked the roof above for leaks  but the ceiling continues to leak.  PVC pipes have replaced metal piping  yet the water leaking is a reddish hue.  Stories have been told that previous to the school's construction  the bottom which it occupies was a swampy area  and it has been said that a murder occurred there on the spot that is now the office of the band room.,Ghost
Charleston Train Depot and Carriage Trail,Charleston,WV,On the bank of the Kanawaha River  at the train depot  just at the bottom of the exclusive South Hills mountain drive  the Charleston Train Depot rivals any 19th century European Town Center. At the depot  flanked by the river on one side and a winding suburban mountain road also exists a carriage trail which led  in days gone by  to the Governors Mansion. The depot has a restaurant and a scenic view. The old carriage trail is barely noticeable from the train platform  but driving up the hill on the right side of the forked road motorists can see a clear wide carriage road leading to what is now Sunrise Museum. Vagrants and homeless people are said to spend some nights near the bottom of the trail waiting for a train to hop  and high school students sometimes wander the trail at the top of the trail behind the museum. No one ventures past the desecrated statue of a Our Lady. A dark spot exists in summer and winter at the second curve from the top of the trail (or the third from the bottom). West Virginia was fiercely abolitionist during the Civil War and the state seceded from Virginia because the mountain men and their Indian Wives did not believe in slavery. The Underground Railroad ran through the exclusive South,Ghost
Capitol Plaza Theatre,Charleston,WV,"This theatre was built in 1909 on the site of the old Welch Mansion that had stood there since 1798. The theatre still houses some of the family that once lived in the mansion. Capital Plaza is now a venue for artists such as Tori Amos  R.E.M.  and other well-known musicians. The former theatre where ""Mountain Stage"" was recorded  is a place that gives people chills when they enter the area. The most prolific ghost here is that of John Welch. He was the son of the man who built the house and heir to the Welch fortune. John is very sneaky and likes to play around with peoples' minds. He is quite protective of the place and of the actors who frequent the stage. Another ghost  not quite as active  is known as Molly Welch. She was John's youngest daughter who died of pneumonia in 1840 around the age of eight. She is very shy  but sometimes when an actor is standing on stage  she can be seen sitting in the front row of the balcony.",Ghost
The Blenner Hassett Island,Parkersburg,WV,The legend has it that there were 3 men camping on the island. It was about two in the morning when on of the men woke up to the smell of perfume. He woke up the other two men smelling to same smell. They looked around and didn't see anything. They looked to their left one more time and saw Margett Blennerhasset with her infant that was buried on the island as were her other 6 year old daughter. The legend says that at night Margett and her kids walk the island.,Ghost
University of Charleston,Charleston,WV,Dickinson Hall - Students have reported strange sounds  sightings  and feelings of uneasiness **Has recently been torn down.,Ghost
University of Charleston,Charleston,WV,Geary Student Union - Feelings of not being alone strange noises and shadows.,Ghost
Fort Bridger State Historic Site,Fort Bridger,WY,Ghosts in almost every standing historic structure. One in the museum building that likes to play with copiers. One or more animal ghosts  particularly that of a dog that was decorated for heroism for saving a young boy. Most ghosts seem to be rather harmless. Most are soldiers that died while stationed at the site in the mid to late 1800's.,Ghost
Cemetery,Fort Bridger,WY,There is an old phantom that roams the graves.,Ghost
Sweetwater Co. Library,Sweetwater,WY,The Sweetwater County Library was constructed on an old Indian cemetery. Items move by themselves. Apparitions have been seen.,Ghost
Green River Library,Green River,WY,"You can hear strange noises and books fall off the shelves at night. Daily Rocket - Miner Reporter stayed the night in the library. Had many different eerie feelings. But didn't see anything until he remember his recorder recording in the conference room. It had several unexplained clicks on it. Then about halfway through someone breathed into it. Then on the other side of the tape  a small girl yells out  ""HELLO!"" And he and another reported were the only ones in the library! One night the janitor was vacuuming and the light came on upstairs so he ran to turn it off  but when he returned the vacuum was gone and then he heard someone upstairs vacuuming and when he went up there nobody was there! - June 2008 Update / Additional information: they built the new library on the old city graveyard. A new graveyard was constructed up the hill and it was thought that all graves had been removed from the old site and were accounted for. Not quite. During construction  workers dug up several old caskets  which broke open with the bones falling out! Spooked the workers good. Ever since  the library is thought to have been constructed on ""bad"" soil  like out of some horror movie plot.",Ghost
County Offices Building,Rock Springs,WY,there have been many strange and unusual happening in the building  mostly at night when a lonely deputy is on duty making copies in the office or just simply sitting down and having a cup of coffee  Report seeing people out of the corner of their eye when the building is empty. He shook it off again and went back to his reports when suddenly he turned around and there standing in front of him was an old man wearing a blue bathrobe and blue slippers. He said the old man just looked up at him and turned around and walked out.. The deputy  not realizing what had just happened  followed the man out the door  but when he reached the hallway  there was no one to be found! Another unexplained happening happened around the same time when the Emergency Management Director was sitting in his office early in the morning and was drinking a cup of coffee when suddenly someone slapped the back of his chair and sent him flying up on top of his desk! When he turned around to investigate  he realized that no one was in the room with him  let alone  no one was even in the building at the time of the event!,Ghost
"Cedar ""Spirit"" Mountain",Cody,WY,"Cedar Mountain use to be called Spirit Mountain because people have been lost and never found in the caves that honeycomb this mountain and the surrounding area. The caves were closed to public access except that one can register with the forest service an explore these caves. Even the canyon that runs along side the mountain is considered haunted. People have heard footsteps behind them but when they turn around  no one is there. Also  some of the long time residents claim the mount is occupied by ""little people.""",Ghost
Coe medical center,Cody,WY,Two nuns can be seen floating down the halls  and weird noises are reported.,Ghost
Irma Hotel,Cody,WY,There have been sightings of a soldier dressed in an 1800's style uniform in the main dining hall near the cherry wood bar. Also seen  Irma (Buffalo Bill Cody's daughter)- “The Lady in White” roams the halls of the second floor where the suites and rooms are  as well as an aggressive presence in the kitchen.,Ghost
Heart Mountain Relocation Center,Powell / Cody,WY,The center was built during WWII for the relocation of the Japanese. During the day nothing real spectacular happens except for a friendly spirit can be felt following you around. At night however everything changes. Noises and footsteps can be heard when no one else is moving. You get the feeling that someone/something is following you and watching you. They are called Shadow People and they are an old Native American legend. They are usually not malicious and mostly observe people.,Ghost
Meeteetse,Park County,WY,Cowboy Bar - Footsteps  when no one in there. Glasses falling  full from the bar  and not spilling a drop. Seeing and hearing someone order a steak. Bottles flying of the shelves. Bullet holes in walls  a wake held  with the dead man laying on the bar  Several murders in and around the bar.,Ghost
Report 11616: Fishermen find footprints east of Egegik.,Approximately 95 miles east of Egegik  Alaska. Up the Egegik River thirty-five miles  and sixty miles accross Becharoff Lake to the far south/east corner of the lake on the mouth of the Bear Creek spit.,AK,To whom it may concern  I am a commercial fisherman in Alaska and have been doing so since 1970. I am an avid outdoorsman  hunter and someone who just loves to get out there. Every year after fishing  I try to take a trip up river with a friend or two to wind down and enjoy ourselves before we go home. This year while I was on this trip into Alaska's interior our main mission was to take pictures of bears and the surrounding wildlife to promote a new bear viewing and sports fishing buisness. While on our five day trip  we spotted more than fourty bears. I took hundrends of pictures of these bears and their tracks. One of which  was so big  it put chills up my spin and gave me and my companions a very uneasy sense of insecurity. What set this track apart from the others was it's enormous size and human shape. In one of the pictures that I took of this track  I placed my foot next to it on the ground  keep in mind I am wearing a size 13 boot. Whatever made this track was so heavy  heavier than the biggest bear  that it pushed the gravel so far into the earth that it made us truly speculate what we were looking at. Other pictures that we took of bear tracks were nowhere close to the indentation that this track had left. One of the most intriguing things about this track was there were no visible claw marks as with all the other bear tacks. Both of us felt extremely uneasy of our surroundings and had the feeling that we were being watched. For the rest of the day we didn't have much to talk about  and that night felt uncomfortable at camp. We never heard or smelt anything out of the ordinary. To this day I'm not too sure what we saw and I'm not making any claims other than the words I have put fourth. I would like to include the photos I spoke of  as maybe you or someone on your staff might help me shed some light on this situation. I want nothing but to put my mind at ease. Wether this is a bear track from an extrememly enormous bear or...? Please help if you have any input.,Bigfoot
Report 25442: Hunter describes powerful wood knocks at a cabin in remote wilderness south of the town of Chicken,This is near Ketchumstock Mountain  about a 30 mile jaunt by ATV's to the west of the Taylor Highway south of Chicken Alaska.,AK,This is an excerpt from a short story I wrote about this hunting trip for mostly my family.  I am 64 years old and have 40+ years in law enforcement  currently serving as chief of police. With hunting season not to open until the day after next  we were in no hurry and enjoyed the evening with a touch of good single malt Irish talking about our past hunts and the one we were about to have.  Loyd and Davis would not arrive until the first day of the hunt  presumably because Dave had become domesticate sometime after the previous year’s hunt and had to attend a retirement party before being allowed to leave Valdez for camp. With the evening expended and the toll the day had taken on us we were in our sleeping bags and doubtlessly turning logs into sawdust by 2300 hours.  The stove was stoked with fresh firewood and all was good.  About 0215 I awoke feeling way too warm  unzipped my bag  slinging the top off  when I heard a resounding crack of wood striking wood  similar to a Louisville Slugger solidly striking a large  sound Birch tree very close to the cabin.  There being no one within many miles of us  my attention was immediately focused on the sound.  A few seconds later  the sound was repeated  which was to be the pattern for several minutes while I attempted to evaluate it to determine its source.  I finally decided to wake Bill saying in just above a whisper  “hey Bill”.  He stirred responding with something that sounded like “what” and did not move again for twenty minutes; when he woke up and asked what was going on.  In the mean time the commotion stopped when I initially attempted to awaken Bill up and I was sitting on the bunk with my .450 in hand waiting for whatever eventuality might arise.  Nearing 0300 hours I finally returned to a sound slumber awaking well into the following morning. With a spot of coffee in our gullets and having explained to Bill the events of the previous night we explored the area of the old village  inclusive of the nearby grave yard  in an effort to find an explanation.  We found numerous paths traversing the grassy area around the cabins with a multitude of bedding sites.  Never did we find anything that would provide us with an answer to the question of the source of sounds.  Explaining this to another friend after our return  with the experience of spending many years living in numerous villages  he asked me if there was a native graveyard nearby.  It is less than 50 yards from the cabin.  Nevertheless  I named the source “Sassy”.,Bigfoot
Report 7963: Sasquatch walks past window of house at night,At the edge of town.,AK,"This incident happened last night just after 11pm. My daughter was home alone. She lives with a relative  who was out of town. She called me at 11:22 pm; she was terrified. She said she could hear something walking back and forth by her bedroom window. She also said she looked out the window when she first heard it  and saw ""something"" big and black  really big. She described the ""thing"" to have been about 3-4 feet above the bottom of the window. When I went down to look behind the house this morning  I stood by the window. I am 5'4"" and my eyes just reach the bottom of the window  so I figure this ""thing"" must have been 7-8 feet tall. We live in a small village of less than 500 population.  There are a lot of bushes and trees in between the houses. Their house is close to the beach  and there is forest surrounding the town. Now  I've never known my daughter to afraid of anything  but last night when I went to pick her up  she was shaking like a leaf  she was hysterical  it took me almost an hour to calm her down. I questioned her about what happened. She called me about 5 minutes after she first saw it.  She was too scared to move. When I got down there  I would not look behind the house  but she was hiding in my relative's closet. She said it was walking back and forth right behind the house. She described the footsteps as a sound that someone very large walking on two feet  kind of like a ""stomping"". My daughter is very down-to-earth  not one prone to dramatics. When I first went down there  I didn't really know what was going on  just that my daughter was scared spitless  but I would not look behind the house. When I went up to the house  my hair felt like it was standing on end  and I had goosebumps really bad. I was scared and didnt know why.",Bigfoot
Report 637: Campers' encounter just after dark in the Wrangell - St. Elias National Park and Preserve,On the main trail toward the glacier  before the stream about 1 mile past the Kennikot settlement at the abandon dynamite shaft.,AK,My hiking partner and I arrived late to the Kennikot area. We were trying to make it to the camp sites near the glachier but it started getting too dark even for us . So we decided to camp at the first available site . We found a small spot right off the trail so we made camp and hung our supplies in a tree down the trail   started a fire and were just finishing a small meal when I walked to the trail to smoke. I was standing on the trail a few minutes when I noticed what I thought was a man on a bike coming down the trail. I let my partner know  but when I looked back it was still in the same spot. I started looking more closely to see a face or the bike or something. It was then I realized it wasn't a person. It was a large dark form legs spread apart  this is what led me to think it was a person on a bike. The arms were curled at it's side like someone with hands on handle bars. Too big for a bear and the legs were too far apart. I called my partner but when turned back to look at it again it moved very quickly into the woods on two legs. The next day we looked but found no evidence of anything on the trail. I've told this story to a few people but they all think I'm crazy. I hope that this helps. I know what I saw  I guess I'm just hopeing somebody belives me....,Bigfoot
Report 9317: Driver on Alcan Highway has noon  road encounter near Alaska-Canada border,We were traveling westbound when the animal was sighted  standing at treeline on slight rise south of eastbound lane of highway.  We continued travel westbound several miles and pulled into a rest stop on the south side of the highway. To fix a better location we were approx. 30-45 minutes west of Alaskan/Canadian Border  westbound and several miles after seeing animal  we stopped at a rest stop on the south side of the highway. Hope this helps. Also  for what it may be worth  several local natives were having lunch there and we shared what we saw with them. I believe one worked for the state road system as he was driving a state vehicle and another mentioned he was a state sponsored hunter for rogue bear. The hunter thought I had seen a grizzly  from the coloration  the height and the lack of a neck (he reasoned that the grizzly's hump  when viewed from behind could be mistakened for a head).,AK,My daughter and I were traveling to Tok  Alaska  westbound approx. 30-45 minutes from US Customs at Alaskan/Canadian Boarder. We were towing a 27 ft. trailer and listening to music and enjoying the view. An object caught my eye standing in the treeline south of the eastbound lane. I saw something from the waist up reaching to a higher part of a white bark tree. I did a double take and slammed on the brakes and came to a complete stop. Whatever it was had its back to us and still was reaching up with its right arm. The animal was a beautiful blond/auburn coloration and appeared well groomed as I could see the waist and well developed shoulders that blended into the head. I didn't see a real neck. I made a mental note using the tree as a height measuring device. I reached for the camera and my daughter but when we left our truck the animal was gone. We returned to our truck and continued driving until we pulled into the rest stop mentioned above. I took a tape measure from the tool box and measured a similar looking white bark tree using my mental notes....The animal I saw stood at better than 9 ft with an overhead reach greater than 12 ft.,Bigfoot
Report 44986: Memory told of a close up daylight encounter with two  possibly young  Bigfoots near Abbeville,Specific instructions omitted for privacy reasons.,AL,"When my aunt was about 11 or 12 years old  she was helping her older cousin (Jerry) in the field at her aunt's house in an area called ""Screamer"" in Henry County  Alabama.  It was a hot day  and after some time Jerry grew very thirsty and asked my aunt to walk up the road to the house and get him a glass of water.  My aunt then walked through the field back toward the dirt road leading to her aunt's house.  Upon reaching the dirt road  she saw two creatures standing on the other side of the road.  She stopped and began slowly backing up  then stopped again.  She stood there looking at them  and they looking at her  for a minute or so  long enough for her to get a good look at them.  They were only around 10 feet away from her at that point - she on one side of the dirt road and they on the other.  She described them as standing next to each other.  One was  in her estimation  around 5 feet tall and the other was slightly shorter  around 4 feet tall.  She said that she got the impression that they were young.  She said that they were ""real hairy"" and completely covered in dark brownish black hair  that they looked sort of like gorillas but with human looking faces with hair on them  human looking hands  and human looking feet.  She said their noses were free of hair and that the color of their noses was dark brown or black  as were their feet and hands.  They stood very still other than blinking  just looking at her.  Except for being covered in thick hair  their faces looked human with regular human-looking noses.  After a minute or so  she took off running as fast as she could back up to the house to get the water Jerry had requested.  She did not look back as she ran.  She got the water  and proceeded to walk back toward the field.  The creatures were not there anymore.  She never told anyone about this incident until just a couple of months ago because she was always afraid people would make fun of her.",Bigfoot
Report 8679: Adult recalls childhood sighting at dusk near Moody,Around Moody  Alabama.,AL,"When I was around 11 years old  I had a strange encounter in the field behind my house.  At that time  I believed I saw a crazy old man  but I now realize that is all I could rationalize it to be. I was walking alone at dusk with my dog.  This was not unusual as I loved to be outside- my parents often had to force me inside by calling me in for the night.  Well  from what I can remember of that particular night  I was picking up rocks in a ditch and looking at them.  I might have been looking for a certain kind of rock but I can't remember exactly what I was doing.  It was definitely getting dark  but I could still see well enough to keep after the rocks for awhile longer.  I remember holding a stick I was using to pry rocks out of the dirt.  It was very quiet and still and there wasn't much wind.  As I was looking at the ground  I heard a noise in front of me and I looked up to see what it was  and that is when I saw him.  He stood right in front of me at a distance of 5 to 10 feet  he was tall  but hunched and quietly staring right at me.  He wasn't much taller than a normal man  but I got the impression he was old because he was hunching.  He looked like Rip Van Winkle to me  and that is what I thought of when I saw him.  He had a long shaggy beard around his facial area  but he was completely naked but for the long shaggy hair that was in matts all over his body.  I remember the hair was thin at his face  the base of his neck  and upper torso  but thicker around his beard  lower torso and legs.  All the hair was grayish white and very long and shaggy.  Mats of hair dangled from him in tatters.  His feet were bare.  His face was very humanlike  but not quite normal as it had very exaggerated wrinkles- again  a reason I thought he was a crazy old man.  His head seemed normal  but there was so much hair it was hard to make out his features except where the hair was thinner.  He appeared gaunt and thin  but in just a moment I would realize he was not like an old man at all.  I screamed as loud as I could out of fear and I noticed my dog bolted towards the house while I was taking in the sight of this strange thing in front of me.  The shaggy old man let out a scream of his own when I screamed.  He was staring right at me screaming in a voice that sounded like a woman shrieking- he seemed very scared of me as well.  I turned to run for my house.  I looked over my shoulder to see if he was following me and I saw him run up the ditch in the other direction.  He was extremely agile and fast- he was definitely not Rip Van Winkle.  He ran in a full sprint  very quickly for someone so hunched. I think I caught the dog running back to the house  as I was so frightened.  I remember running into the kitchen and telling my Mom there was a crazy old Rip Van Winkle in the field.  I remember describing how he was old looking  hunched  naked  and his hair was very long and matted like he hadn't cut it in 20 years.  I told her about how he had hair all over his body.  Needless to say  I wasn't believed.  I became obsessed with what I called ""the Shaggy old man"" or ""the Crazy old man"".  I believed that he must have been an old deformed hermit.  I kept a notebook in which I drew many sketches of him.  I remember keeping the notebook secret from my family  hiding it out of fear of being ridiculed.  I wish I had those sketches now but sadly I've misplaced that notebook.  I remember I went back to the spot in the field looking for him on other occasions  but I never ran into him again.  I wasn't aware enough to look for prints or anything like that  but I knew that he was out there somewhere and I wanted to prove he really existed to others. What changed my opinion of this sighting was a late night visit to a bigfoot website.  I was just browsing their sightings index and I came across several sightings in the same county I lived in and all described white or grayish colored creatures.  Honestly  I didn't realize bigfoot were sighted in this part of the country at that time  or even for most of my life  and just seeing all those other sightings was a revelation.  I realized for the first time that what I witnessed may not have been a crazy old shaggy man  but rather a bigfoot.  When I think back on the sighting  it all makes sense in that light.  There would be no reason for a naked old man to wander that field  much less to be covered in grayish  white  shaggy tattered hair.  The only reason I never thought of it as a bigfoot before was that I had never heard of an Alabama bigfoot  so the thought never entered my mind.  Also  I had never heard of a whitish gray colored bigfoot  and this creature was thinner than a typical bigfoot description- maybe he was older or maybe even younger.  He looked a bit hungry to me  as he was not some hulking powerful creature  but he was still strong looking and extremely agile.",Bigfoot
Report 7235: Recollection of an afternoon sighting on Green Mountain,In Huntsville. Just ask where Green Mountain is.,AL,When I was about 8 or 10 yrs old  I saw a Bigfoot. It was on Green mountain near Huntsville  Ala. It was unpopulated then. Now there are million dollar homes there. I was on my way home from my uncle's house on a gravel road. I was on one side of a hill. The road went down this hollow and back up the other side. In the ditch line was Bigfoot  about 8 ft. tall with arms that looked like they reached down past his knees. It was slightly leaned foward looking straight at me. It scared the daylights out of me. So I went back to my uncle's house and told him. He got his shot gun and we went back. It was still there looking at us. Uncle threw up the gun to shoot and I told him we needed to get closer. So we went down the hill and as we did we lost sight.  When we got back up the other side it was gone. ,Bigfoot
Report 27568: Daylight sighting of a Bigfoot outside Muscle Shoals,off hwy 72 you will see baker lane  go down baker lane you'll see emmette holland road  go down that road it'll open up into fields and woods and you are there,AL,well me and my cousin were deep in the woods deer hunting close to our little camp site when we heard some very loud popping sounds maybe 35 yards away  we froze  tried to figure out the sound but couldnt. We started walking it was getting late almost dark we started to smell something. It smelled awful deader than dead my cousin hears something walking heavy  we turn around look down the logging road and see this thing step out of the treeline  it was a good 40 to 45 yards away it had dark brown hair  walked on two legs was very big 9 to 10 feet tall and it just stood there. Out of being so scared we couldnt move either  I couldn't of shot it if I wanted to but we stared at each other for about 3 or 4 mins and when it took a step into the woods we ran. 1st time ever saw anything like that. I told some people but they laughed and asked me how much I had been drinking but I dont drink so I saw the sight and decided to get this off my chest. I've been holding for years and I havn't been deer hunting that far in the woods since.,Bigfoot
Report 37094: Multiple sightings close to Lookout Mountain near Gadsden,,AL,Well here goes....it was late evening  I stepped out to our driveway and saw something in the shadow.. It turned and stepped across the lit area and into the woods. One and a half steps  bout 8-10 feet..since then a lot more incidents bout like what I've described and there is always a rotten dead like odor. We have 12 bout acres and in the area we see this  is where we put table scraps..also there is an area where trees 6 inches in diameter are just pushed to the ground and the middle area is scratched up.,Bigfoot
Report 56108: Sighting at dusk by a Retired Police Officer with Anthropology Degree,Heavy forest in the Ouachita National Forest  8 miles north of Acorn  Arkansas.,AR,While south bound on US71  8 miles north of the Ouachita River  observed a very tall  dark-colored  upright  bipedal creature crossing the highway and disappearing into the forest.,Bigfoot
Report 1637: Backyard sighting near Mountain Home.,Go down highway 5 north to Connie dr just at the outskirts of town.,AR,While driving to check on my dogs that were being kept at my aunts house in a fenced in area with a ten by ten out building. An adolescent bigfoot ran out of the woods and into my aunts yard it ran between the house and the garage. It was approximately three and a half to four foot tall. I pulled in to the drive but was to afraid to get out of the car had the feeling that something was watching me from the woods. The dogs were yapping but ok so I left because I was afraid.,Bigfoot
Report 7969: Youth hears vocalizations and is trailed while fishing on White River,I was only 13 at the time and didnt pay much attention to the roads.  The dirt road came down around a hill and leveled off along the east bank of the river.  The other side of the river was inaccessible due to a very steep bluff.  The bottom of the bluff was exposed rock with a slight outcropping from erosion.  About 50 feet up the bluff vegitation began with ever increasing pine trees and vegetation that continued at least another 200 plus yards to the top.  This part of the river was on a long gradual bend that obstructed lengthy views along the river in either direction.  I have fished the river many times as an adult but have yet to find the exact spot.,AR,When I was about 13 years old I went trout fishing with my mother and aunt on the White river in Arkansas.  We were staying at a motel in BullShoals.  One morning we drove to a remote area of the river to fish via an unkown dirt road.  We stopped to fish a bend of the river.  On the opposite side of the river(west)  was a tall stone bluff with a slight over crop from erosion.  On the east side was flatter land with 12 to 20 foot thin scrub trees about 20 to 30 feet from the water  as the river was low.  While my mother and aunt where fishing off the bank  I decided to try my luck further up river  about 300 yards away and just out of sight with my mother.  While I was fishing along the bank I began to hear rustling sounds in the trees and shrubs behind me.  I looked in the direction of the noise and could see the tops of the these thin trees moving as if something were walking through them and pushing them to the side  but due to the thickness of the vegetation I could not see what was actually moving the trees.  I stood and observed this activity for 2 or 3 minutes.  I began hearing grunting type sounds that were very deep and substantial sounding.  These sounds were similar but different than grunt sounds a bull would make.  The movement of the trees began to appear as if something were shaking the trees at this point instead of moving through them.  It appeared that whatever was making the noises was only about 10 feet inside the brush yet I could not see what it was.  Feeling nervous  I decided I should return to my mothers side and began walking back towards my mother.  As I did  whatever was in the brush moved with me step for step.  As I walked the movement in the trees seemed more forceful with the sounds of large branches breaking as it moved.  When I got within sight of my mother (about 50 yards)  all activity stopped.  I informed my mother there was something in the brush following me  but she shrugged it off.  Within a few minutes we decided to leave as we werent catching any fish.,Bigfoot
Report 7045: Man riding 4-wheeler observes a bigfoot reaching into a tree,,AR,Well i live in bentonville Akansas right now  my dad own his own buisness. One Day we got on the subject i was telling him that i had bought a little book of ghost stories and bigfoot sightings and how i was very  itrested in bigfoot. Then he told me that he seen bigfoot before and he told me the whole story. At fist i didnt belive him  but a couple of years later he told me the same story when we got on the topic again. The story is that he was riding ATVs with his friends around or in ether lost bridge lake of bever lake and he was at the front of the group of 4-wheelers and they were going down this hill that led to a dirt road. Since he was in front of the group he went down first and got on the dirt road and stopped to wait for the rest of the group to come down. before they came down he lokked over across the dirt road on the other side of the hill on the tree line where the evevning sun was shining through the trees and seen the big foot walking. He said it was taking really big steps and apered to be 7-8 feet tall. He couldnt se the color because the sun was shining through the trees and big foot so you know it apeared as a shadow. Then the rest of the group came down and he told them what he saw and they didnt belive him. Thats all he told me. He told me he coudnt remeber every detale. But he still knows more than me  i cant remeber everything. The reason i'm telling you and not him is that i probably coudn't get him to get on here to tell you this. I'm telling you this because im learnig about bigfoot in our biology class at bentonville high school. my teacher is a marine biologist and a cytozoologist. We watched the big foot movie and the legend of boggy creek in class. Plus the sightings in Decator which is write by our town. So all this bigfoot stuff is making me so excited to dicover the bigfoot and do my part in adding another unreported sighting  since i know theres got to be alot of them out there. If you need any more info i dont have a phone but you can write me at (Withheld)  my name is (withheld) or you can call my dad who was the one who seen it at (withheld),Bigfoot
Report 12824: Two sets of tracks found near Lake DeGray.,This area is in the Arlie Moore area of the corp land surrounding Lake DeGray.,AR,Wednesday  October  12  2005 our neighbors dogs were very active and barking all night.  The next morning about 5:30am my own dog was barking in the backyard.  I opened the door to calm her down and I heard something in the back of our property near the fruit trees.  It was very heavy sounding and I could hear branches breaking as it departed.  The next morning around 8:30am my husband went to his truck in the backyard and heard something behind our shop take off running.  He thought it was a hunter and ran to the back to listen.  He thought it sounded like it was on two feet.  He said it stomped very heavily as it was running through the woods and he could hear snorting.  Sunday  October 16th  I went walking around the neighborhood road and discovered several sets of large and small barefootprints on the gray slate road in front of our house.  At first I thought it was a childs footprint until I looked closer.  There were two sets.  The largest measured 13.5 by 7 inches and the small print measured 9 by 4 inches. I took pictures of all the prints and measured each print.  They consistenly measured the same size.  The large print is about 3 inches wider than my husbands foot and he's a big man.,Bigfoot
Report 46243: Passengers travelling to the Arizona Snowbowl ski area have a possible daytime sighting,Halfway up Snowbowl Rd.  before reaching the Arizona Snowbowl chairlifts.,AZ,"While in flagstaff  AZ  my husband  mother-in-law  and I decided to take a chairlift ride. As we drove up snow bowl rd to reach the Arizona Snowbowl  we saw a large tall figure walking in long strides through the trees. I would say about 40 yards from the desolate road. As an avid ""Finding Bigfoot"" watcher  our sighting was everything we heard/saw on the show. The squatch had to have been at least 8 or 9 feet tall. It was too far away to make out any features  but the way it walked  the posture  and dark brown/black color it was unmistakeable. Definitely not a bear or deer. We saw the creature take two long strides through the trees and ""disappear"". A feeling came over us of shock/fear/amazement. I had goosebumps all over my body.",Bigfoot
Report 16397: Rock throwing incident at Woods Canyon Lake.,,AZ,well my self and my dad were camped at woods canyon lake in the spilway camp ground.. well on friday around 3 to 4 in the after noon i was fishing on the spilway.off the the east is a hicking trail that gose up the hill and around the lake..out of no where a bolder the size of a basket ball come flying thru the middle of the pine trees an 10 to 15 feet into the lake.well befor this happen u could hear birds cherping.well when is happen it got quiet quick..another guy saw what i did we bolth looked at 1 and other and he ended up leaveing,Bigfoot
